step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_utilization,reward_slo,reward_latency_objective,reward_latency_failure,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,cluster_full_free_gpu_count,cluster_full_free_gpu_ratio,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,job_completion_time_ms,job_slowdown,latency_objective,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
47,47,openb-pod-6988,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.2328009828009828,119.0,0.74375,0.35778480768203735,0.27807527780532837,0.395961731672287,0.0,600000.0,1.0,1.0,12702491.0,37810.0,36810.0,37810.0,0.2363125,0.7636875,0.2300625,0.7699374999999999
48,48,openb-pod-6990,5,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7196969696969697,0.9821867321867321,0.2624897624897624,0.24592547092547093,119.0,0.74375,0.3660174310207367,0.2877686619758606,0.40094053745269775,0.0,600000.0,1.0,1.0,12702584.0,38280.0,37810.0,38280.0,0.23925,0.76075,0.2363125,0.7636875
49,49,openb-pod-6991,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.24592547092547093,118.0,0.7375,0.36481714248657227,0.2874358892440796,0.4000842571258545,0.0,600000.0,1.0,1.0,12702594.0,39280.0,38280.0,39280.0,0.2455,0.7545,0.23925,0.76075
50,50,openb-pod-6993,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.24592547092547093,117.0,0.73125,0.3648035228252411,0.2875617742538452,0.40074920654296875,0.0,600000.0,1.0,1.0,12702712.0,40090.0,39280.0,40090.0,0.2505625,0.7494375,0.2455,0.7545
51,51,openb-pod-6994,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.24592547092547093,116.0,0.725,0.36493033170700073,0.28772109746932983,0.4026242792606354,0.0,600000.0,1.0,1.0,12703486.0,40900.0,40090.0,40900.0,0.255625,0.744375,0.2505625,0.7494375
52,52,openb-pod-6995,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.24598689598689596,115.0,0.71875,0.3651972711086273,0.28791379928588867,0.40474262833595276,0.0,600000.0,1.0,1.0,12703623.0,41490.0,40900.0,41490.0,0.2593125,0.7406874999999999,0.255625,0.744375
53,53,openb-pod-6996,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.24598689598689596,114.0,0.7125,0.3673003315925598,0.29102349281311035,0.4097506105899811,0.0,600000.0,1.0,1.0,12703679.0,42490.0,41490.0,42490.0,0.2655625,0.7344375000000001,0.2593125,0.7406874999999999
54,54,openb-pod-6997,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.2460892710892711,113.0,0.70625,0.3698593080043793,0.29420962929725647,0.4127050042152405,0.0,600000.0,1.0,1.0,12703716.0,42960.0,42490.0,42960.0,0.2685,0.7315,0.2655625,0.7344375000000001
55,55,openb-pod-7001,6,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.7712940212940214,0.7604422604422605,0.2841113841113841,112.0,0.7,0.37918663024902344,0.30394813418388367,0.42022180557250977,0.0,600000.0,1.0,1.0,12704434.0,43960.0,42960.0,43960.0,0.27475,0.72525,0.2685,0.7315
56,56,openb-pod-7006,7,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.28449017199017196,111.0,0.69375,0.37818577885627747,0.30352482199668884,0.41748225688934326,0.0,600000.0,1.0,1.0,12706453.0,44770.0,43960.0,44770.0,0.2798125,0.7201875,0.27475,0.72525
57,57,openb-pod-7007,7,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.28449017199017196,110.0,0.6875,0.37731802463531494,0.30313265323638916,0.4162125885486603,0.0,600000.0,1.0,1.0,12706835.0,45360.0,44770.0,45360.0,0.2835,0.7165,0.2798125,0.7201875
